seq:ID,code,name
1218,2821,凯莱英
1219,2822,中装建设
1220,2823,凯中精密
1221,2825,纳尔股份
1222,2826,易明医药
1223,2827,高争民爆
1224,2828,贝肯能源
1225,2829,星网宇达
1226,2830,名雕股份
1227,2831,裕同科技
1228,2832,比音勒芬
1229,300474,景嘉微
1230,300484,蓝海华腾
1231,300490,华自科技
1232,300491,通合科技
1233,300494,盛天网络
1234,300499,高澜股份
1235,300500,启迪设计
1236,300501,海顺新材
1237,300502,新易盛
1238,300503,昊志机电
1239,300505,川金诺
1240,300506,名家汇
1241,300507,苏奥传感
1242,300508,维宏股份
1243,300509,新美星
1244,300510,金冠电气
1245,300511,雪榕生物
1246,300512,中亚股份
1247,300513,恒泰实达
1248,300515,三德科技
1249,300516,久之洋
1250,300517,海波重科
1251,300518,盛讯达
1252,300519,新光药业
1253,300520,科大国创
1254,300521,爱司凯
1255,300522,世名科技
1256,300523,辰安科技
1257,300525,博思软件
1258,300526,中潜股份
1259,300527,华舟应急
1260,300528,幸福蓝海
1261,300529,健帆生物
1262,300530,达志科技
1263,300531,优博讯
1264,300532,今天国际
1265,300533,冰川网络
1266,300534,陇神戎发
1267,300535,达威股份
1268,300536,农尚环境
